And shall, sir.	I will, sir.
And so, without more circumstance at all, I hold it fit that we shake hands and part.	I hold it right, without any circumstance, that we shake hands and take part.
And here I stand, both to impeach and purge, Myself condemnèd and myself excused.	I am a man who is condemned and excused.
A trusty villain, sir, that very oft, When I am dull with care and melancholy, Lightens my humor with his merry jests.	A trusty villain, sir, that often, when I am dull with care and melancholy, lightens my humor with his merry jests.
Alas, good gentleman!	Good gentleman!
And that’s true too.	That is true too.
Antonio, O my dear Antonio!	Antonio, dear Antonio!
An your ladyship will have it as it ought to be, you must allow  Prithee, read i' thy right wits.	If you have a ladyship that will be as good as it should be, you must let Prithee, read your right wits.
Ah, but I think him better than I say, And yet would herein others' eyes were worse.	I think he is better than I say.
All for our vantage.	All for our advantage.
A gentleman.	A gentleman.
A merry whoreson, ha!	A merry whoreson, ha!
And so it is.	It is.
And to that place the sharp Athenian law Cannot pursue us.	The Athenian law cannot pursue us.
A segregation of the Turkish fleet.	A segregation of the Turkish fleet.
And then the justice, In fair round belly with good capon lined, With eyes severe and beard of formal cut, Full of wise saws and modern instances; And so he plays his part.	He is a man with a good capon lined belly, with eyes severe and beard of formal cut, full of wise saws and modern instances.
And if thou prate of mountains let them throw Millions of acres on us, till our ground, Singeing his pate against the burning zone, Make Ossa like a wart!	If you are a mountaineer, let them throw millions of acres on us, till our ground, chanting his pate against the burning zone, make Ossa like a wart!
And this way have you well expounded it.	You have a good reason to tell it.
Are they all ready?	Are they all ready?
Am I in earth, in heaven, or in hell?	Am I in earth, in heaven, or in hell?
And I will purge thy mortal grossness so That thou shalt like an airy spirit go.— Peaseblossom, Cobweb, Moth, and Mustardseed!	I will cleanse your mortal grossness so that you will go like a savage spirit.
A halter gratis, nothing else, for God’s sake.	A halter gratis, nothing else, for God’s sake.
And ever will—though he do shake me off To beggarly divorcement—love him dearly, Comfort forswear me!	He will ever love him dearly, and he will always be a good friend.
A most poor man made tame to fortune’s blows, Who by the art of known and feeling sorrows Am pregnant to good pity.	A poor man who is known and feels sorrows is pregnant to good pity.
And so farewell, Signior Lucentio.	So far, Signior Lucentio.
And in good time here comes the sweating lord.	In good time, here comes the sweating lord.
Are those my tents where I perceive the fire?	Are those my tents where I see the fire?
A messenger from the galleys.	A messenger from the galleys.
And so had mine.	Mine was.
And will you, being a man of your breeding, be married under a bush like a beggar?	Will you be married under a bush like a beggar?
And came I not at last to comfort you?	Did I let you sleep?
All’s cheerless, dark, and deadly.	All are cheerless, dark, and deadly.
And your horse now would make him an ass.	Your horse would make him an ad.
And when I do, I swear It shall be Romeo, whom you know I hate, Rather than Paris.	When I do, I swear that Romeo will be the one who you know I hate, and not Paris.
A mighty man of Pisa.	A mighty man of Pisa.
Alas the day!	It is the day of the day!
And when I rear my hand, do you the like, To fall it on Gonzalo.	When I raise my hand, do you the same, to fall it on Gonzalo.
A good moral, my lord: it is not enough to speak, but to speak true.	It is not enough to speak, but to speak true.
Are you the lady of the house?	Are you the lady of the house?
And so they parted.	They were slain.
And though she be but little, she is fierce.	She is fierce, though she is little.
And never, since the middle summer’s spring, Met we on hill, in dale, forest, or mead, By pavèd fountain, or by rushy brook, Or in the beachèd margent of the sea, To dance our ringlets to the whistling wind, But with thy brawls thou hast disturbed our sport.	Never, since the middle summer’s spring, met us on hill, in dale, forest, or mead, by a pavèd fountain, or by a brook, or in the beach’s 
Alack, what trouble Was I then to you!	What a problem did I have?
And when the cross blue lightning seemed to open The breast of heaven, I did present myself Even in the aim and very flash of it.	When the blue lightning seemed to open the breast of heaven, I presented myself even in the aim and flash of it.
Almost at odds with morning, which is which.	It is almost morning, which is what.
All these old witnesses—I cannot err— Tell me thou art my son Antipholus.	All these old witnesses—I cannot err— tell me that you are my son Antipholus.
Are you a man?	Are you a man?
And art thou changed?	You have changed?
Abominable villain!	A villain!
And now to our French causes.	Now to our French causes.
A more unhappy lady, If this division chance, ne’er stood between, Praying for both parts.	A more unhappy lady, if this division chance was a chance, ne’er stood between them, praising both parties.
And where’s Cordelia?— Seest thou this object, Kent?	Where is Cordelia?
Anything that’s mended is but patched.	Anything that is mended is only patched up.
Are these, I pray you, wind instruments?	Are these, I pray you, wind instruments?
Are they good?	Are they good?
A velvet dish!	A velvet dish!
And therefore is winged Cupid painted blind.	It is a blind, a blind Cupid.
And must she die for this?	Is she dying for this?
A very honest-hearted fellow, and as poor as the king.	A very honest fellow, and as poor as the king.
A very weak monster.	A very weak monster.
And so adieu, sir.	So adieu, sir.
A greater power than we can contradict Hath thwarted our intents.	A greater power than we can contradict Hath has ruined our intentions.
A most scurvy monster.	A monster that is most scurvy.
A flatterer’s would not, though they do appear As huge as high Olympus.	A flatterer would not, though they appear as big as high Olympus.
And when was he wont to wash his face?	When was he going to wash his face?
And I have reason for it.	I have reason for it.
And the best of me is diligence.	The best thing about me is diligence.
A foolish heart, that I leave here behind.	I have a foolish heart, that I leave here behind.
Are we all met?	Are we all together?
An if you plead as well for them As I can say “nay” to thee for myself, No doubt we bring it to a happy issue.	If you plead for them as well, I can say “nay” to you, and we will certainly bring it to a happy issue.
A friend.	A friend.
Appear and pertly!— No tongue.	Appear and behold!
And indeed it takes From our achievements, though performed at height, The pith and marrow of our attribute.	It is the marrow and the marrow of our attribute.
And O you mortal engines, whose rude throats The immortal Jove’s dead clamors counterfeit, Farewell!	O you mortal engines, who are whose rude throats are counterfeited by the immortal Jove’s dead, please, thank you!
All torment, trouble, wonder, and amazement Inhabits here.	All the trouble, sorrow, wonder and amazement in here.
And with my hand I seal my true heart’s love.	With my hand, I seal my heart’s love.
And, as I am an honest Puck,  If we have unearnèd luck  Now to ’scape the serpent’s tongue,  We will make amends ere long.	If we have no luck now to'scape' the serpent’s tongue, we will make amends ere long.
And so do I too, lieutenant.	I am lieutenant.
All this done, Repair to Pompey’s porch, where you shall find us.	All this is done, repair to Pompey’s porch, where you will find us.
Antonio shall become bound, well.	Antonio will be bound, well.
And so good morrow to you every one.	Good morning to you every one.
A pair of stocks, you rogue!	You are a smuggler.
A vengeance on your crafty withered hide!	A vengeance on your crafty, sluggish hide!
A greater gift?	What is a greater gift?
And for that I promised you, I’ll be as good as my word.	I promise you that I will be as good as my word.
And so of men.	And so of men.
An I might live to see thee married once, I have my wish.	If I live to see you marry once, I have my wish.
A noble ship of Venice Hath seen a grievous wreck and sufferance On most part of their fleet.	A noble ship of Venice Hath saw a massive wreck and sufferance on a large part of their fleet.
Again!	Again!
And yet no matter.	And yet no matter what.
And now they do re-stem Their backward course, bearing with frank appearance Their purposes toward Cyprus.	Now they are re-stripping their backward course, bearing with frank appearance their intentions toward Cyprus.
And may, but how?	How?
A ripe age.	A ripe age.
Alas, he is too young.	He is too young.
And, gentle Puck, take this transformèd scalp From off the head of this Athenian swain, That, he awaking when the other do, May all to Athens back again repair And think no more of this night’s accidents But as the fierce vexation of a dream.	Take this transformated scalp from the head of this Athenian swain, that, when he wakes up when the other does, he will return to Athens again and think no more of the accidents of
And you, sir, for this chain arrested me.	You, sir, have arrested me.
And thus a while the fit will work on him.	He will be able to do so for a while.
And you, good yeoman, Whose limbs were made in England, show us here The mettle of your pasture.	You, good yeoman, who had limbs made in England, show us here the mud of your pasture.
Are you a comedian?	Are you a comedian?
And I was going to your lodging, Cassio.	I was going to your hotel, Cassio.
And let us swear our resolution.	Let us swear by our resolution.
And so did I.	I did.
And indeed, my lord, The wretched animal heaved forth such groans That their discharge did stretch his leathern coat Almost to bursting, and the big round tears Coursed one another down his innocent nose In piteous chase.	My lord, the wretched animal sat in such a groan that his coat slid fast to bursting and the tears shook his innocent nose.
And there the snake throws her enameled skin, Weed wide enough to wrap a fairy in.	There the snake throws her enameled skin, weed enough wide to wrap a fairy in.
All things that are, Are with more spirit chasèd than enjoyed.	All things are with more spirit than enjoyed.
An honest man he is, and hates the slime That sticks on filthy deeds.	He is an honest man who hates the slime that sticks on filthy acts.
Are you a married man or a bachelor?	Are you a married man or a bachelor?
A sick man in sadness makes his will, A word ill urged to one that is so ill.	A sick man in sadness makes his will, a word ill urged to one who is so ill.
Alack, what heinous sin is it in me To be ashamed to be my father’s child!	What a heinous sin I am to be ashamed of being my father’s child?
All men’s faces are true, whatsome’er their hands are.	All men’s faces are true, what they are.
A most extracting frenzy of mine own From my remembrance clearly banished his.	My remembrance of his life sparked a stale rage.
Am I not an inch of fortune better than she?	Am I not a little better than she?
And will she yet abase her eyes on me, That cropped the golden prime of this sweet prince And made her widow to a woeful bed?	Will she still look at me, who sat on the golden prime of this sweet prince and made her widow to a woeful bed?
And what to?	What do you think?
And welcome more common, for that’s nothing but words.	It is more common than words.
A goodly one, in which there are many confines, wards, and dungeons, Denmark being one o' th' worst.	It is a good place to live, with many confines, dungeons and dungeons, Denmark being one of the worst.
And all my armor laid into my tent?	Isn’t it all my armor laying in my tent?
And what of him?	What about him?
An eagle, madam, Hath not so green, so quick, so fair an eye As Paris hath.	An eagle, madam, Hath not so green, so quick, so fair an eye as Paris has.
And, being done, thus Wall away doth go.	If it is done, Wall will go away.
And out of doubt you do me now more wrong In making question of my uttermost Than if you had made waste of all I have.	You do me more wrong now than if you had wasted all I have.
A fine woman!	A fine woman!
A worthy fool!	A worthy fool!
And hath challenged thee?	Hast du challenged you?
After a little time, I’ll beat him too.	After a little time, I will beat him too.
Answer me directly.	Answer me directly.
And so, I pray thee, call Beatrice.	So, pray you, call Beatrice.
A man may see how this world goes with no eyes.	A man can see how this world goes without eyes.
A witty mother!	A witty mother!
Any strange beast there makes a man.	Any strange beast there makes a man.
A most unhappy one.	A very unhappy one.
And weep ye now, seeing she is advanced Above the clouds, as high as heaven itself?	Now, weep, seeing she is up above the clouds, as high as heaven itself?
A king, a king!	A king, a king!
All will be well.	All will be good.
A marvelous witty fellow, I assure you, but I will go about with him.—Come you hither, sirrah, a word in your ear.	I am a wonderful witty fellow, I assure you, but I will go with him.
And so, adieu.	So, adieu.
A lord to a lord, a man to a man, stuffed with all honorable virtues.	A lord to a lord, a man to a man, stuffed with all honorable virtues.
And for three months.	Three months.
And what other oath Than honesty to honesty engaged, That this shall be, or we will fall for it?	What other oath than honesty to honesty engaged, that this will be, or we will fall for it?
A drum, a drum!	A drum, a drum!
An if he be not fought withal, my lord, Let us not live in France.	If he is not fought withal, my lord, let us not live in France.
And here am I, and wood within this wood, Because I cannot meet my Hermia.	I am here, and wood in this wood, because I cannot meet my Hermia.
And yesternight, at supper, You suddenly arose and walked about, Musing and sighing, with your arms across, And when I asked you what the matter was, You stared upon me with ungentle looks.	You suddenly arose and sighed, with your arms across the table, and when I asked you what the matter was, you stared upon me with ungentle looks.
Ah, Luciana, did he tempt thee so?	Oh Luciana, did he tempt you?
And if it sort not well, you may conceal her, As best befits her wounded reputation, In some reclusive and religious life, Out of all eyes, tongues, minds, and injuries.	If it does not work, you may conceal her, as best she can, in some reclusive and religious life.
And on that vice in him will my revenge find notable cause to work.	I will find a good cause to work on that vice in him.
And what’s her history?	What is her history?
Ah, good Demetrius, wilt thou give him me?	Good Demetrius, will you give him me?
And I know not what’s spent in the search.	I know not what is spent in the search.
And look when I am king, claim thou of me The earldom of Hereford, and all the moveables Whereof the king my brother was possessed.	When I am king, you are king, and all the moveables where my brother was possessed.
And if thy poor devoted servant may But beg one favor at thy gracious hand, Thou dost confirm his happiness forever.	If you do not want to give your poor servant one favor at your gracious hand, you will forever confirm his happiness.
And that were much he should, for he is given To sports, to wildness and much company.	He should have done everything he should, because he is given to sports, to wildness and to much company.
A bridegroom, say you?	A bride, say you?
And she’s obedient, as you say, obedient, Very obedient.—Proceed you in your tears.— Concerning this, sir—Oh, well-painted passion!— I am commanded home.—Get you away, I’ll send for you anon.—Sir, I obey the mandate And will return to Venice.—Hence, avaunt!	She is obedient, very obedient.—Proceed you in your tears.— Concerning this, sir.
And died so?	And that is why?
And in this habit Met I my father with his bleeding rings, Their precious stones new lost, became his guide, Led him, begged for him, saved him from despair.	I became my guide, led him, begged for him, and saved him from despair.
And he is a very paramour for a sweet voice.	He is a paramour for a sweet voice.
An if he hear thee, thou wilt anger him.	If he hears you, you will be angry.
And another storm brewing, I hear it sing i' th' wind.	I hear another storm brewing, and hear it sing i' th' wind.
And I know, my lord, If law, authority, and power deny not, It will go hard with poor Antonio.	If law, authority, and power refuse to do so, it will go hard with poor Antonio.
And she’s fair I love.	I love her.
Alas, she hath from France too long been chased, And all her husbandry doth lie on heaps, Corrupting in its own fertility.	She has been too long chased from France, and her husbandry lies on heaps, causing it to collapse.
Am not I your Rosalind?	Am I your Rosalind?
Alack, for pity!	Oh, sorry!
And, sir, tonight I do entreat that we may sup together.	I am going to be able to sup together tonight.
A thousand times the worse to want thy light.	It is a thousand times worse to want your light.
A ring he hath of mine worth forty ducats, And for the same he promised me a chain.	He has a ring of mine worth forty ducats, and for the same reason he promised me a chain.
And I must be from thence!	I must be from there!
Any bar, any cross, any impediment will be med'cinable to me.	Any bar, any cross, any obstacle will be med'cinable to me.
A ship you sent me to, to hire waftage.	A ship you sent me to, to hire waftage.
And for the rest o' th' fleet, Which I dispersed, they all have met again And are upon the Mediterranean float, Bound sadly home for Naples, Supposing that they saw the king’s ship wracked And his great person perish.	For the rest of the fleet, which I dispersed, they have all met again and are on the Mediterranean float, Bound sadly home for Naples, assuming that they saw the king’s ship wracked
And to see how he prizes the foolish woman your wife!	To see how he treats the foolish woman your wife!
And how cam’st thou hither?	How do you get here?
Ancient, what makes he here?	What is he doing here?
And come you now with “knocking at the gate”?	Come you with “knocking at the gate”?
And what confederacy have you with the traitors Late footed in the kingdom?	What confederacy have you had with the traitors who have been late in the kingdom?
And can you by no drift of conference Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?	Can you get from him by no drift of conference why he puts this confusion on his mind, slamming his days of quiet with a stifle and dangerous lunacy?
Approach thou like the rugged Russian bear, The armed rhinoceros, or th' Hyrcan tiger; Take any shape but that, and my firm nerves Shall never tremble.	Approach you like the rugged Russian bear, the armed rhinoceros, or your tiger, and take any shape but that, and my firm nerves will never tremble.
An if I could, what should I get therefore?	If I could, what should I get?
And yet it is danger To make him even o'er the time he has lost.	It is dangerous to make him even more o'clock than he has lost.
All eyes!	All eyes!
A noble duke, in nature As in name.	A noble duke, in nature as in name.
And I have been all this day to avoid him.	I have been trying to avoid him all day.
And when she speaks, is it not an alarum to love?	When she speaks, is it an alarum to love?
All that served Brutus, I will entertain them.	All that served Brutus, I will entertain them.
And yet no further than a wanton’s bird, That lets it hop a little from his hand Like a poor prisoner in his twisted gyves, And with a silken thread plucks it back again, So loving-jealous of his liberty.	He lets it hop a little from his hand like a poor prisoner in his twisted gyves, and with a silken thread he swoops back again, so loving-jealous
And what will you do now?	What will you do now?
And may, through all the world!	You will be happy, through all the world.
And I serve the fairy queen  To dew her orbs upon the green.	I serve the fairy queen to dew her orbs on the green.
And second father This lady makes him to me.	I am a second father.
Are they returned?	Are they back?
A friend should bear his friend’s infirmities, But Brutus makes mine greater than they are.	A friend should bear his friend’s infirmities, but Brutus makes mine greater than they are.
And private in his chamber pens himself, Shuts up his windows, locks fair daylight out, And makes himself an artificial night.	He sat in his chamber, slit his windows, locks out the daylight, and makes himself an artificial night.
Albeit you have deserved High commendation, true applause, and love, Yet such is now the duke’s condition That he misconsters all that you have done.	You deserve praise, true applause, and love, but now he is a duke who is a fool.
A privilege never to see me more.	It is a privilege to never see me more.
A monster, a very monster in apparel, and not like a Christian footboy or a gentleman’s lackey.	A monster, a very monster in clothing, and not like a Christian footboy or a gentleman’s lackey.
Another Hero!	Another Hero!
Anything.	Anything.
A good lenten answer.	A good answer.
Alas, poor shepherd, searching of thy wound, I have by hard adventure found mine own.	I have found mine by hard adventure.
A could never abide carnation.	A man could never be able to do so.
All my pretty ones?	All my pretty ones?
All is lost!	All is lost!
And if on earth he do not merit it, In reason he should never come to heaven.	If he does not deserve it on earth, he will never come to heaven.
And be not jealous on me, gentle Brutus.	Be careful, gentle Brutus.
And did you leave him in this contemplation?	Did you leave him in this contemplation?
A cup, closed in my true love’s hand?	A cup, closed in my true love’s hand?
A baubling vessel was he captain of, For shallow draught and bulk unprizable, With which such scathful grapple did he make With the most noble bottom of our fleet, That very envy and the tongue of loss Cried fame and honor on him.—What’s the matter?	He was captain of a baubling vessel, for a shallow draught and bulk unprizable, with which he made the most noblest of our fleet, That envy and the tongue of loss Cried
Antonio never yet was thief or pirate, Though, I confess, on base and ground enough, Orsino’s enemy.	Antonio was never a thief or a pirate, though, as I confess, on base and ground enough, Orsino’s enemy.
And so she did.	She did.
Alas for both, both mine, Edward and Clarence!	I am sorry for both, Edward and Clarence.
And we will mend thy wages.	We will pay you a little more.
A challenge, on my life.	I am a challenge.
Are you now going to dispatch this thing?	Are you going to do this now?
And some have greatness thrust upon them.” Heaven restore thee!	Some have greatness thrust upon them.
And I, delivering you, am satisfied, And therein do account myself well paid.	I am satisfied with you, and I have paid for it.
And there she shall at Friar Lawrence' cell Be shrived and married.	She will be married and shrived in Friar Lawrence's cell.
And I am sick when I look not on you.	I am sick when I do not look at you.
And so the lion vanished.	The lion disappeared.
And he did bid us follow to the temple.	He promised us to follow up to the temple.
And where the worser is predominant, Full soon the canker death eats up that plant.	Where the worser is predominant, the canker death soon eats up that plant.
