Anon!	Goodbye!
Away, slight man!	Go away, a little man!
Nothing but this: your true love for my master.	Nothing but this: you’re true to me.
I will preach to thee.	I’ll preach to you.
Forget to think of her.	Don’t think about her.
Take the fool away.	Take the fool away.
Tarry, good Beatrice.	Be sorry, good Beatrice.
If th' other two be brained like us, the state totters.	If the other two are brained like us, the state will get worse.
Not too fast!	Not too fast!
Oh, most lame and impotent conclusion!	Oh, most lame and impotent conclusion!
I peseech you heartily, scurvy, lousy knave, at my desires, and my requests, and my petitions, to eat, look you, this leek.	I ask you to eat, look, this leek.
This fellow’s of exceeding honesty And knows all quantities, with a learnèd spirit, Of human dealings.	This fellow is a man who’s very honest and knows all the things about human affairs.
Lead the way.	Lead the way.
And he is a very paramour for a sweet voice.	And he’s a paramour for a sweet voice.
What is your will?	What do you want?
I am fire and air, my other elements I give to baser life.—So, have you done?	I’m fire and air, my other elements I give to basers.—So, have you done that?
Do not you wear your dagger in your cap that day, lest he knock that about yours.	Don’t wear your dagger in your cap that day, so he won’t knock that over yours.
He shall taste of my bottle.	He’ll taste my bottle.
One side will mock another—th' other too.	One side will mock another—the other will.
Thyself a queen, for me that was a queen, Outlive thy glory, like my wretched self.	You’re a queen, for I was a queen, and you’re outlived your glory, like my wretched self.
Yet I suppose him virtuous, know him noble, Of great estate, of fresh and stainless youth.	But I suppose he’s virtuous, and he’s noble, and he’s a fresh, and dependable young man.
Yet you will be hanged for being so long absent.	But you’ll be hanged for being so long absent.
What, are you busy, ho?	Are you busy?
Pray, sir, be patient.	Please, sir, be patient.
Bid him Report the feature of Octavia: her years, Her inclination.	Tell him to tell me the story of Octavia: her years, her desire to be a woman.
The Prince will doom thee death If thou art taken.	The Prince will punish you for death if you’re taken.
Here will we sit and let the sounds of music Creep in our ears.	Here we sit and listen to the music in our ears.
Dear my lord, if you in your own proof Have vanquished the resistance of her youth And made defeat of her virginity— I know what you would say: if I have known her, You will say she did embrace me as a husband, And so extenuate the forehand sin.	Dear lord, if you’ve defended her youth and defeated her virginity—I know what you would say: if I knew her, you’ll say she embraces me as a husband, and so ex
The old cock.	The old cock.
God made him and therefore let him pass for a man.	God made him, and so he let him pass for a man.
If I cut my finger, I shall make bold with you.— Your name, honest gentleman?	If I cut my finger, I’ll make bold with you.—Your name, honest gentleman?
Flatterers?—Now, Brutus, thank yourself.	Flatterers?—Now, Brutus, thank you.
How much better is it to weep at joy than to joy at weeping!	How much better it is to weep at joy than to rejoice at weeping!
Do thy duty, and have thy duty, for my master and mistress are almost frozen to death.	Do your duty, and do your duty, because my master and mistress are almost dead.
O dear father, It is thy business that I go about.	Oh, father, I’m going to do your business.
Then burst his mighty heart, And, in his mantle muffling up his face, Even at the base of Pompey’s statue, Which all the while ran blood, great Caesar fell.	Then he burst his mighty heart and, in his mantle muffling up his face, even at the base of Pompey’s statue, which ran blood all the while, great Caesar fell.
I did so, and take heed on ’t, Make it a darling like your precious eye.	I did that, and I’m sure you’ll see it as a darling like your precious eye.
What, have you dined at home?	Have you eaten at home?
Return, good Catesby, to the gracious duke.	Return to the gracious duke, good Catesby.
You forget yourself To hedge me in.	You forget to hide me.
The court awards it, and the law doth give it.	The court awards it, and the law gives it to him.
Sick, oh, sick!	Oh, sick!
Answer every man directly.	Answer every man directly.
Marry, this is miching	This is a snobby.
Too well, too well.	Too well, too well.
Wherefore this ghastly looking?	Why are you looking so gloomy?
Great Dunsinane he strongly fortifies.	Great Dunsinane is strong enough to be a soldier.
Can you tell me whether one Launcelot that dwells with him, dwell with him or no?	Can you tell me whether one Launcelot who lives with him, or not, is living with him?
Tis marvel, but that you are but newly come, You might have heard it else proclaimed about.	It’s marvellous, but you’re only coming soon, you might have heard it else.
We will spare for no wit, I warrant you.	We won’t spare for any wit, I assure you.
Not in deed, madam, for I can do nothing But what indeed is honest to be done.	I can’t do anything but what is actually honest.
Why do you dress me In borrowed robes?	Why do you dress me in borrowed robes?
Be patient, for the prize I’ll bring thee to Shall hoodwink this mischance.	Be patient, because the prize I’ll bring you to Shall wink this mischance.
what mistress, slave, hast thou?	What mistress, slave, are you?
Tis sport to maul a runner.	It’s a sport to make a runner.
Their ships are yare, yours, heavy.	Their ships are heavy, yours.
I have heard of some kind of men that put quarrels purposely on others, to taste their valor.	I’ve heard of some kind of men who put quarrels on others to taste their valor.
God 'ild you, sir.	God bless you, sir.
Lord, how art thou changed!	Lord, how have you changed!
Come, sisters, cheer we up his sprites, And show the best of our delights.	Come, sisters, cheer him up and show us the best of our delights.
But who is with him?	But who is he?
If you call me Jephthah, my lord, I have a daughter that I love passing well.	If you call me Jephthah, my lord, I have a daughter I love passing well.
Write to me very shortly, And you shall understand from me her mind.	Write to me very soon, and you’ll understand her thoughts from me.
I owe you much, and, like a willful youth, That which I owe is lost.	I owe you much, and, like a willful young man, I’m losing everything I owe.
If we are marked to die, we are enough To do our country loss; and if to live, The fewer men, the greater share of honor.	If we’re marked to die, we’re enough to do our country’s loss.
Ride, ride, Messala.	Ride, ride, Messala.
My friend, thy husband, honest, honest Iago.	My friend, your husband, honest, honest Iago.
Their hands and faces were all badged with blood.	Their hands and faces were all covered with blood.
For besides these beneficial news, it is the celebration of his nuptial.	And besides these good news, it’s the celebration of his wedding.
The king his master needs must take it ill, That he, so slightly valued in his messenger, Should have him thus restrained.	The king’s master has to take it seriously, so he should restrain him from being so a little valued in his messenger.
I am not guilty of Lysander’s blood.	I’m not guilty of Lysander’s blood.
Oh, by no means.	Oh, no.
But I am sent to find those persons whose names are here writ, and can never find what names the writing person hath here writ.	But I’m sent to find those people who have written this letter, and I can’t find what the author has written.
The devil himself could not pronounce a title More hateful to mine ear.	The devil himself couldn’t pronounce a title more hateful to me than a title I’d like to hear.
I could not forget you, for I never saw you before in all my life.	I couldn’t forget you, because I never saw you before in my life.
This is his second fit.	This is his second fit.
Verona’s summer hath not such a flower.	Summer in Verona hasn’t been such a beautiful flower.
He is not the flower of courtesy, but, I’ll warrant him, as gentle as a lamb.	He’s not the flower of courtesy, but I’ll bet he’s as gentle as a lamb.
Tis true indeed, so your daughter says.	It’s true, your daughter says.
I once more take my leave.	I’ll leave again.
Therefore confess thee freely of thy sin, For to deny each article with oath Cannot remove nor choke the strong conception That I do groan withal.	So confess freely to your sin, because to deny each article with oath can’t remove or choke the strong conception that I’m groaning with.
I pray thee, do not mock me, fellow student.	Please, don’t mock me, fellow student.
By this kind of chase I should hate him, for my father hated his father dearly.	I’d hate him by this kind of chase, because my father hated his father very much.
Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sound Reverbs no hollowness.	I’ll answer my life’s judgment, your youngest daughter doesn’t love you the least, and neither are those emptyhearted who don’t listen to you.
That’s not so.	That’s not true.
Had I as many sons as I have hairs, I would not wish them to a fairer death.	If I had as many sons as I have hairs, I wouldn’t wish them a better death.
And yet complainest thou of obstruction?	And yet you’re complaining of obstruction?
And unrespective boys.	And unrespective boys.
Away, then!	Go away, then!
Soft, comes he not here?	Isn’t he here?
She was here even now.	She was here right now.
I know not, lady.	I don’t know, lady.
Sometimes from her eyes I did receive fair speechless messages.	Sometimes she saw me receiving speechless messages from her eyes.
How now, Horatio?	What’s going on, Horatio?
I have a daughter.	I have a daughter.
He is no less than a stuffed man.	He’s not less than a stuffed man.
Thus it must be.	That’s what it must be.
Monday, my lord.	Monday, my lord.
Madam, with much ado.	Madam, with much ado.
I said thou hadst a fine wit.	I said you had a good wit.
Twas no need, I trow, To bid me trudge.	There was no need to tell me to trudge.
For, of my heart, those charms, thine eyes, are blotted.	My heart is full of charms, your eyes, and your eyes.
O infinite virtue, com’st thou smiling from The world’s great snare uncaught?	Oh, infinite virtue, are you smiling from the world’s great snare uncaught?
Alas, sir, be patient.	Oh, sir, be patient.
Hath she made her affection known to Benedick?	Has she told Benedick about her love?
For aught that I could ever read, Could ever hear by tale or history, The course of true love never did run smooth.	For a story I could ever read, hear by story or history, the course of true love never ran smoothly.
Why, this fellow has banished two on ’s daughters, and did the third a blessing against his will.	Why, this man has banished two of his daughters and gave the third a blessing against his will.
If I do find him fit, I’ll move your suit And seek to effect it to my uttermost.	If I find him right, I’ll move your suit and try to make it to my fullest.
Apollo plays, And twenty cagèd nightingales do sing: Or wilt thou sleep?	Apollo plays, and twenty cagèd nightingales sing: Or are you going to sleep?
But for a fine, quaint, graceful, and excellent fashion, yours is worth ten on ’t.	But for a fine, charming, graceful, and excellent manner, yours is worth ten.
And so, without more circumstance at all, I hold it fit that we shake hands and part.	And so, without any more circumstance, I’m sure we’ll shake hands and part.
I want more uncles here to welcome me.	I want more uncles here to welcome me.
These be good humors.	These are good humors.
Ay.	Yes.
Idle old man That still would manage those authorities That he hath given away!	Idle old man who still wants to manage the powers he has given away!
The tender prince Would fain have come with me to meet your Grace, But by his mother was perforce withheld.	The tender prince would have come with me to meet you, but his mother was unable to help him.
I have drunk poison whiles he uttered it.	I’ve drunk poison while he said it.
Monday!	Monday!
Nay, by Saint Jamy, I hold you a penny, A horse and a man Is more than one And yet not many.	No, by Saint Jamy, I hold you a penny, a horse and a man are more than one, but not many.
Sir, sir, be patient.	Sir, sir, be patient.
Serve God, love me, and mend.	Serve God, love me, and heal me.
It comes upon me.—Art thou any thing?	It’s coming to me.—Do you have any thing?
The fault, dear Brutus, is not in our stars But in ourselves, that we are underlings.	The fault, dear Brutus, is not in our stars, but in ourselves, that we are underlings.
Is love a tender thing?	Is love a tender thing?
Hence!	Let’s go!
Yes, something you can deny for your own safety: you have been a great thief by sea.	Yes, something you can’t say for your own safety: you’ve been a great thief by sea.
He is justly served.	He’s served a good job.
I come but in as others do, to try with him the strength of my youth.	I’m just coming in as others do, trying to convince him to be my strength.
Speak to me what thou art.	Tell me what you’re doing.
How is ’t, Laertes?	How is it, Laertes?
Of so high and plenteous wit and invention!	Of so high and plenuous wit and invention!
Say, if th' hadst rather hear it from our mouths, Or from our masters'.	Say, if you’d rather hear it from our mouths or from our masters’.
I repent me much That so I harried him.	I’m sorry I harried him so much.
Should not upbraid our course.	Don’t jump on our course.
These times of woe afford no time to woo.	These times of sorrow don’t give us time to woo.
My lord?	My lord?
A good lenten answer.	A good answer.
No, I’ll not weep.	No, I won’t cry.
But there where I have garnered up my heart, Where either I must live or bear no life, The fountain from the which my current runs Or else dries up—to be discarded thence!	But there I have gotten my heart out of here, where I must live or have no life, the fountain from which my current runs or else dries up—to be discarded from here!
Stand not amazed.	Don’t stand up surprised.
These fellows have some soul,	These men are a bit sane,
Hem them away.	Hem them away.
To fly the boar before the boar pursues Were to incense the boar to follow us And make pursuit where he did mean no chase.	If the boar were flying before the boar pursued, the boar would incense the boar to follow us and make pursuit where he didn’t mean any chase.
What is the matter?	What’s the matter?
Come.	Come on.
Let us hear him.	Let’s hear him.
Since he went into France, I have been in continual practice.	Since he left France, I’ve been practicing constant.
I must hence to wait.	I have to go wait.
What sayst thou?	What do you say?
He goes forth gallantly.	He’s going out of his way.
What sum owes he the Jew?	What sum does he owe the Jew?
Your wife and brother Made wars upon me, and their contestation Was theme for you.	Your wife and brother made wars against me, and their contestation was the theme for you.
What tell’st thou me of robbing?	What do you say about robbing?
If till the expiration of your month, You will return and sojourn with my sister, Dismissing half your train, come then to me.	If you leave until the end of your month, you’ll return and stay with my sister, leaving half your train, then I’ll come to me.
At least two glasses.	At least two glasses.
You come to me and you say, “Shylock, we would have moneys.” You say so!— You, that did void your rheum upon my beard And foot me as you spurn a stranger cur Over your threshold!	You come to me and you say, “Shylock, we would have money.” You say that!—You, who ripped your beard and shook me as you shook a stranger over your threshold!
I will resolve you herein presently.	I’ll resolve you here in the meantime.
She said so.	She said that.
Not for all this land Would I be guilty of so deep a sin.	I wouldn’t be guilty of such a serious sin for all this land.
I am not drunk now.	I’m not drunk now.
What a pestilent knave is this same!	What a pestilent knave this is!
I have heard my father name him.	I’ve heard my father name him.
The royal tree hath left us royal fruit, Which, mellowed by the stealing hours of time, Will well become the seat of majesty, And make, no doubt, us happy by his reign.	The royal tree has left us with royal fruit, which, mellowed by the stealing hours of time, will be the seat of majesty and make us happy by his reign.
Are you native of this place?	Are you native of this place?
Expound unto me, boy.	Expound to me, boy.
Thus from my lips, by thine, my sin is purged.	So my sin is purged from my lips by yours.
Two things provided more: that for this favor He presently become a Christian; The other, that he do record a gift Here in the court, of all he dies possessed, Unto his son Lorenzo and his daughter.	He’s got two things more than that: that he’s now a Christian, and that he’s a gift from the court of justice for all the money he’s possessed, to his son Lo
Your plainness and your shortness please me well.	Your plainness and your shortness please me.
Be that thou know’st thou art, and then thou art As great as that thou fear’st.	Be that you know you’re doing, and then you’re as great as you fear.
Here’s one, a friend, and one that knows you well.	Here’s one, a friend, and one who knows you well.
My very hairs do mutiny, for the white Reprove the brown for rashness, and they them For fear and doting.	My hairs are muted, because the whites are reaffirming the brown for rashness, and they’re afraid and doting.
Come, my lord.	Come on, my lord.
And most dear actors, eat no onions nor garlic, for we are to utter sweet breath.	And most dear actors, don’t eat any onions or garlic, because we’re utterly sweet.
Not having that which, having, makes them short.	Not having the one that makes them short.
Out, alas!	Out, sorry!
Not altogether so, sir.	Not altogether, sir.
I put it in the pocket of my gown.	I put it in my pocket.
I see thou know’st me not.	I see you don’t know me.
Leave me, I say.	Leave me alone, I say.
Death makes no conquest of this conqueror, For now he lives in fame, though not in life.	He’s still alive, though he’s not alive.
A greater power than we can contradict Hath thwarted our intents.	A greater power than we can contradict has ruined our intentions.
I hope, for my brother’s justification, he wrote this but as an essay or taste of my virtue.	I hope for my brother’s reason he wrote this as a taste of my virtue.
My tongue and soul in this be hypocrites.	I’m a hypocrit.
I long To hear the story of your life, which must Take the ear strangely.	I’m waiting to hear the story of your life, which must take the ear strangely.
Cast on no water.	Don’t cast on water.
Thou'rt a scholar.	You’re a scholar.
Nay, if you strive— But half an hour!	No, if you’re trying— But wait a half hour!
We will meet, and there we may rehearse most obscenely and courageously.	We’ll meet, and we can listen courageously and obscenely.
This is not yet an Alexandrian feast.	This isn’t yet an Alexandrian feast.
I am your own for ever.	I’m your own for forever.
O, name him not.	Don’t name him.
Give me, give me!	Give me, give me!
And, friends, disperse yourselves.	And, friends, disperse yourself.
Well, let him go.	Well, let him go.
Nay, that’s not so.	No, that’s not true.
Tis one Iago, ancient to the general.	It’s one Iago, old to the general.
I’ll to my charge.	I’ll go to my job.
With cunning hast thou filched my daughter’s heart, Turned her obedience (which is due to me) To stubborn harshness.—And, my gracious duke, Be it so she will not here before your grace Consent to marry with Demetrius, I beg the ancient privilege of Athens.	I beg the ancient privilege of Athens, my gracious duke, if she doesn’t want to marry Demetrius, I beg her to be a good man.
You cannot feed capons so.	You can’t feed capons like that.
Nay, that’s not your way.	No, that’s not your way.
Be factious for redress of all these griefs, And I will set this foot of mine as far As who goes farthest.	Be honest about all these griefs, and I’ll go as far as anyone who goes farthest.
I leave him to your gracious acceptance, whose trial shall better publish his commendation.” You hear the learned Bellario, what he writes.	I’ll give him your gracious acceptance, whose trial will better publish his praise.” You hear the learned Bellario, what he writes.
Well, what was yours?	Well, what was yours?
All’s hushed as midnight yet.	It’s still as hushed as midnight.
I must leave you.	I have to leave you.
Why, she comes to borrow nothing of them.	Why, she’s not borrowing anything from them.
He is a very proper man.	He’s a very good man.
Tell me what more thou know’st.	Tell me what you know more.
No, nor mine now.	No, and I’m not.
Two of both kinds make up four.	Two of both kinds make four.
Farewell.	Goodbye.
And there were drawn Upon a heap a hundred ghastly women, Transformèd with their fear, who swore they saw Men all in fire walk up and down the streets.	And there were a hundred ghastly women, dressed with their fear, who swore they saw men in fire walk up and down the streets.
Therefore prepare you.	So prepare yourself.
What was he, sad or merry?	What was he sad or merry?
Now he is a-praying.	Now he’s a praying.
Alas, gentlemen— Help, ho!— Lieutenant—sir, Montano— Help, masters!—Here’s a goodly watch indeed!	Oh, gentlemen— Help, ho!—Loyal—sir, Montano— Help, masters!—Here’s a good watch!
As a friend or an enemy?	As a friend or an enemy?
If not, ’tis true this parting was well made.	If not, it’s true that this parting was well done.
I’ll not be made a soft and dull-eyed fool To shake the head, relent and sigh, and yield To Christian intercessors.	I won’t be a dull-eyed fool to shake the head, sigh and give away to Christian intercessors.
Oh, but she’ll keep her word.	Oh, but she’ll keep her word.
And mine, two hundred.	And mine, two hundred.
A match!	A match!
Here comes one.	Here comes one.
I pray thee, hold thy peace.	Please, keep your peace.
We’ll away tonight, And be a day before our husbands home.	We’ll leave tonight, and we’ll be a day before our husbands return home.
You know that I held Epicurus strong And his opinion.	You know that I held Epicurus strong and his opinion.
Here comes your father.	Here comes your father.
Command him away.	Command him away.
What, we have many goodly days to see!	We have many good days to see!
If they speak but truth of her, These hands shall tear her; if they wrong her honor, The proudest of them shall well hear of it.	If they say nothing about her, they’ll tear her up.
Iago beckons me.	Iago is coming.
Heaven doth truly know it.	Heaven knows it.
He’s a conspirator.	He’s a conspirator.
What, Curio?	What, Curio?
I trouble thee too much, but thou art willing.	I’m bothering you too much, but you’re willing.
The king and prince at prayers.	The king and prince are at prayers.
Demetrius loves her, and he loves not you.	Demetrius loves her, and he doesn’t love you.
We’ll teach you to drink deep ere you depart.	We’ll teach you to drink deep before you leave.
Dear master, I can go no further.	Dear master, I can’t go any further.
There’s few or none will entertain it.	There are few or none of them who will entertain it.
Truly, she must be given, or the marriage is not lawful.	Yes, she must be given a marriage, or the marriage is not legal.
No, by this hand.	No, by this hand.
Phoebe did write it.	Phoebe wrote it.
The even mead, that erst brought sweetly forth The freckled cowslip, burnet, and green clover, Wanting the scythe, withal uncorrected, rank, Conceives by idleness, and nothing teems But hateful docks, rough thistles, kecksies, burrs, Losing both beauty and utility.	The even mead, who brought sweetly the freckled cowslip, burnet, and green clover, who wanted the scythe, withal uncorrected, rank, is a man
What, are we cuckolds ere we have deserved it?	What, are we scolding the kings if we deserve it?
Fed with the same food, hurt with the same weapons, subject to the same diseases, healed by the same means, warmed and cooled by the same winter and summer as a Christian is?	Are you fed with the same food, hurt with the same weapons, subject to the same diseases, healed by the same means, warmed and cooled by the same winter and summer as a Christian?
How can that be, when you have the voice of the king himself for your succession in Denmark?	How can that be, when you have the voice of the king himself for your succession in Denmark?
The will!	The will!
That eye my daughter lent her; ’tis most true.	That eye was a sign my daughter gave her.
Show.	Show.
It is not yet near day.	It’s not yet day.
Wake her not.	Don’t wake her up.
I am sped.	I’m sped.
If this be known, Cassius or Caesar never shall turn back, For I will slay myself.	If this is known, Cassius or Caesar will never turn back, because I’ll kill myself.
Suffolk first died, and York, all haggled over, Comes to him where in gore he lay insteeped And takes him by the beard, kisses the gashes That bloodily did yawn upon his face.	Suffolk died first, and York, all haggled over, comes to him where he lay in a gore and takes him by the beard, kisses the gashes that bloody yawn on
There is none of my uncle’s marks upon you.	There’s no sign of my uncle’s calling you.
Seafaring men, sir.	Seafaring men, sir.
I pray you, sir, hold your hand.	Please, sir, hold your hand.
Let me stay the growth of his beard, if thou delay me not the knowledge of his chin.	Let me keep the growth of his beard if you don’t delay me to know his chin.
A most scurvy monster.	A very scurvy monster.
Well, your imprisonment shall not be long.	Well, you’ll be sentenced for not long.
Boy!	Boy!
Prithee, see there!	Please, see there!
What, to perverseness?	What, to perverseness?
My husband!	My husband!
Let them affright thee.	Let them scolde you.
God’s arm strike with us!	God’s arm strikes with us!
I sent for thee upon a sad occasion.	I sent for you on a sad occasion.
For the most part, too, they are foolish that are so.	The majority of them are foolish.
Sirrah, your father’s dead.	Sirrah, your father’s dead.
I do entreat your grace to pardon me.	I’m asking you to pardon me.
You wrong me, Signior Gremio.	You wrong me, Signior Gremio.
What is ’t you seek?	What do you want?
From this time forth I never will speak word.	From now on I’ll never speak to you.
And she’s fair I love.	And she’s fair, I love her.
Speak, hands, for me!	Speak, hands, for me!
Can you not stay awhile?	Can’t you stay for a while?
The same.	That’s the same.
For if such actions may have passage free, Bond-slaves and pagans shall our statesmen be.	If such actions are free, our statemen will be slaves and pagans.
Do not deny to him that you love me.	Don’t deny to him that you love me.
Yea, my good lord.	Yes, my good lord.
Yet bend not all the harm upon yourself.	But don’t bend all the harm on yourself.
You are a merry man, sir.	You’re a merry man, sir.
Cold, cold, my girl, Even like thy chastity.	Cold, cold, my girl, even like your chastity.
Do not answer me.	Don’t answer me.
Talk no more.	Don’t talk about it.
Draw thy tool!	Draw your tool!
We shall chide downright, if I longer stay.	We’ll scold you for letting me stay.
I will reward thee Once for thy sprightly comfort and tenfold For thy good valor.	I’ll reward you once for your sprightly comfort and tenfold for your good valor.
Where’s the Master?	Where’s the Master?
It is concluded.	It’s been concluded.
By my hand I swear, and my father’s soul, the work ish ill done.	I swear by my hand, and my father’s soul, that the work is ill done.
Do thy office.	Do your job.
Thou art a lady.	You’re a lady.
Young men’s love then lies Not truly in their hearts, but in their eyes.	Then young men’s love isn’t true in their hearts, but in their eyes.
She In th’ habiliments of the goddess Isis That day appeared, and oft before gave audience, As ’tis reported, so.	She appeared in the habiliments of the goddess Isis that day, and then gave the audience, as it’s reported.
And in good time here the lieutenant comes.— Master Lieutenant, pray you, by your leave, How doth the prince and my young son of York?	And in good time, the lieutenant comes.—Meister Lieutenant, please, by your permission, how are the prince and my young son of York?
From forth the fatal loins of these two foes A pair of star-crossed lovers take their life, Whose misadventured piteous overthrows Doth with their death bury their parents' strife.	Then a pair of star-crossed lovers take their lives from the fare of these two foes.
Stand, ho!	Stand up!
For this present, I would not, so with love I might entreat you, Be any further moved.	For now, I wouldn’t be moved any further, so I could be with you.
Your daughter spent in Genoa, as I heard, in one night fourscore ducats.	Your daughter spent one night in Genoa, as I heard, in fourscore ducats.
Soft!	Get out of here!
For us, you know Whose he is we are, and that is Caesar’s.	For us, you know who he is, and that’s Caesar’s.
How shall we then behold their natural tears?	How can we see their natural tears?
We defy augury.	We’re not afraid of augury.
Brief, I recovered him, bound up his wound, And after some small space, being strong at heart,	I recovered him, bound up his wound, and after some small space, being strong at heart,
Not a jot, not a jot.	Not a joke, not a joke.
So long?	So long?
Were ’t twenty of the greatest tributaries That do acknowledge Caesar, should I find them So saucy with the hand of she here—what’s her name Since she was Cleopatra?	If there were twenty of the greatest tributaries who acknowledge Caesar, would I find them so sour with the hand of her here—what’s her name since she was Cleopatra?
How came she by that light?	How did she get that light?
He prays you to save his life.	He asks you to save his life.
Stand, you neat slave, strike!	Stand up, you neat slave, strike!
Who?	Who?
Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!
Where is Montjoy the herald?	Where is Montjoy the herald?
Now let thy friendly hand Put strength enough to ’t.	Now let your friendly hand put strength enough to do it.
Drown cats and blind puppies!	Drowning cats and blind puppies!
Trail’st thou the puissant pike?	Are you the powerful pike?
She is protectress of her honor too.	She’s a protector of her honor, too.
Madam.	Madam.
The world affords no law to make thee rich.	The world doesn’t have any law to make you rich.
Ay, marry, go, I say, and fetch him hither.— Now, afore God, this reverend holy friar!	Yes, go, I say, and get him here.—Now, God, this reverend holy friar!
Were you made the messenger?	Did you make the messenger?
Lend thine ear.	Let’s hear your ear.
And Trinculo is reeling ripe.	Trinculo is reeling ripe.
I doubt not of his temperance.	I don’t doubt his temper.
But if it were, doubt not her care should be To comb your noddle with a three-legged stool And paint your face and use you like a fool.	But if it were, she wouldn’t care if she combped your noddle with a three-legged stool and painted your face and used you like a fool.
So frowned he once when, in an angry parle, He smote the sledded Polacks on the ice.	He smashed the sledded Polacks on the ice once.
No, no.	No, no.
Go, go, dispatch.	Go, go, dispatch.
Lechery!	Lechery!
I cannot hope Caesar and Antony shall well greet together.	I can’t hope Caesar and Antony will greet together.
A gallant curtal-axe upon my thigh, A boar-spear in my hand, and in my heart Lie there what hidden woman’s fear there will, We’ll have a swashing and a martial outside— As many other mannish cowards have That do outface it with their semblances.	I’ll have a swashing and a martial outside— As many other mannish cowards have, they’re swashing it with their semblances.
They smile at me that shortly shall be dead.	They smile at me, who will be dead soon.
All this”?	All this”?
Sir, being his knave, I will.	Sir, I will, being his king.
Shall I be married then tomorrow morning?	Should I be married tomorrow morning?
I will, my lord.	I will, my lord.
Most absolute lord, My mistress Cleopatra sent me to thee.	My absolute lord, my mistress Cleopatra sent me to you.
Tis certain so, the Prince woos for himself.	It’s certain that the Prince is wooing for himself.
She’s the worse for all this.	She’s the worse for all this.
This dream is all amiss interpreted.	This dream is all wrong.
The town will rise.	The town will rise.
If I quench thee, thou flaming minister, I can again thy former light restore Should I repent me.	If I stop you, you flaming minister, I can restore your old light again if I repent.
If I were bound to divine of this unity, I would not prophesy so.	If I were to be a divine servant of this unity, I wouldn’t say that.
As sweet repose and rest Come to thy heart as that within my breast.	You’ll feel as calm and restful as I am in my breast.
No, not an oath.	No, not an oath.
A stone-cutter or painter could not have made him so ill though they had been but two years o' th' trade.	A stone-cutter or painter could not have made him so sick as they were only two years old.
The west yet glimmers with some streaks of day.	The west still glimmes with some streaks of day.
Faith, I know not what to say.	I don’t know what to say.
Therefore give out you are of Epidamnum, Lest that your goods too soon be confiscate.	So give out your belongings to Epidamnum, so you don’t have to confiscate your goods too soon.
Ha?	Ha?
It is too heavy for your Grace to wear.	It’s too heavy for your Grace to wear it.
I tell you, ’tis incredible to believe How much she loves me.	I tell you, it’s incredible to believe how much she loves me.
O Romeo, Romeo, brave Mercutio is dead!	Oh, Romeo, Romeo, brave Mercutio is dead!
Money by me!	I’m giving you money!
I’ll then nor give nor hazard aught for lead.	I won’t give or risk anything for lead.
Authority.	Authority.
Make you a wholesome answer.	Make you a good answer.
Is it the fashion that discarded fathers Should have thus little mercy on their flesh?	Is it the way fathers should have so little mercy on their flesh?
Where be thy tenants and thy followers?	Where are your tenants and your followers?
Now, by my maidenhead at twelve year old I bade her come.	Now, by my mother at twelve, I told her to come.
They were villains, murderers.	They were villains, murderers.
Still so cruel?	Are you still so cruel?
I will here shroud till the dregs of the storm be past.	I’ll go here until the storm passes.
Away!	Go away!
Madam, I am here.	Madam, I’m here.
Help, ho!	Help!
His life I gave him and did thereto add My love, without retention or restraint, All his in dedication.	I gave him his life and did it to add my love, without restraint or resentment, to his dedication.
I “an itching palm”!	I’m “an itching palm”!
About it, and write “happy” when thou’st done.	Read it, and write “happy” when you’re done.
I saw them not.	I didn’t see them.
Where’s my knave, my fool?—Go you, and call my fool hither.	Where’s my knave, my fool?—Go and call my fool here.
Art thou indeed?	Are you really?
Anything.	Anything.
If there be any impediment, I pray you discover it.	If there’s any obstacle, please find out.
I’ll not budge an inch, boy.	I won’t budge an inch, boy.
The madly used Malvolio.”  Did he write this?	The madly used Malvolio.” Did he write this?
And for I know she taketh most delight In music, instruments, and poetry, Schoolmasters will I keep within my house, Fit to instruct her youth.	And because I know she enjoys music, music, and poetry, I’ll keep my house full of schoolmasters who will teach her youth.
Well, peace be with you.	Well, let’s go.
Look in my face.	Look in my face.
Speak.	Speak.
Art thou a churchman?	Are you a churchman?
Then to have seen much and to have nothing is to have rich eyes and poor hands.	Then to have seen much and to have nothing is to have rich eyes and poor hands.
Madam, madam— Antonio’s dead!	Madam, madam— Antonio’s dead!
O piteous spectacle!	Oh, what a terrible spectacle!
He may command me as my sovereign, But you have power in me as in a kinsman.	He may command me as my sovereign, but you have power in me as a kinsman.
Make me to see ’t, or at the least so prove it That the probation bear no hinge nor loop To hang a doubt on, or woe upon thy life!	Make me see it, or at least prove it so that the probation doesn’t have any sleeve or loop to hang a doubt on your life or to be angry!
Your fortunes are alike.	Your fortunes are alike.
We first address towards you, who with this king Hath rivaled for our daughter.	We’ll first speak to you, who, with this king, rivaled for our daughter.
But here’s a villain that would face me down He met me on the mart, and that I beat him And charged him with a thousand marks in gold, And that I did deny my wife and house.— Thou drunkard, thou, what didst thou mean by this?	But here’s a villain who would face me down, he met me on the martin, and I beat him and charged him with a thousand marks in gold, and I denied my wife and house.—You drunk
